feature_type,sample_size,fold,true_LAM_pred_LAM,true_LAM_pred_MWS,true_MWS_pred_LAM,true_MWS_pred_MWS
tags,25,1,26.60060976,19.74085366,8.536585366,45.12195122
tags,25,2,30.79268293,15.54878049,16.53963415,37.11890244
tags,25,3,34.29878049,12.04268293,12.65243902,41.00609756
tags,25,4,26.75304878,19.58841463,10.89939024,42.75914634
tags,25,5,32.24085366,14.10060976,9.603658537,44.05487805
tags,25,6,31.63109756,14.71036585,10.36585366,43.29268293
tags,25,7,32.85060976,13.49085366,8.384146341,45.27439024
tags,25,8,31.55487805,14.78658537,9.375,44.28353659
tags,25,9,32.54573171,13.79573171,8.231707317,45.42682927
tags,25,10,27.5152439,18.82621951,6.93597561,46.72256098
tags,50,1,30.94512195,15.39634146,7.012195122,46.64634146
tags,50,2,35.82317073,10.51829268,14.63414634,39.02439024
tags,50,3,37.95731707,8.384146341,12.34756098,41.31097561
tags,50,4,30.6402439,15.70121951,8.079268293,45.57926829
tags,50,5,38.1097561,8.231707317,8.079268293,45.57926829
tags,50,6,35.21341463,11.12804878,9.908536585,43.75
tags,50,7,36.58536585,9.756097561,7.926829268,45.73170732
tags,50,8,34.75609756,11.58536585,8.079268293,45.57926829
tags,50,9,35.82317073,10.51829268,9.146341463,44.51219512
tags,50,10,32.16463415,14.17682927,6.707317073,46.95121951
tags,100,1,35.67073171,10.67073171,6.097560976,47.56097561
tags,100,2,40.85365854,5.487804878,11.58536585,42.07317073
tags,100,3,39.63414634,6.707317073,11.58536585,42.07317073
tags,100,4,35.97560976,10.36585366,6.707317073,46.95121951
tags,100,5,37.80487805,8.536585366,5.792682927,47.86585366
tags,100,6,39.02439024,7.317073171,9.146341463,44.51219512
tags,100,7,38.7195122,7.62195122,7.62195122,46.03658537
tags,100,8,37.5,8.841463415,5.487804878,48.17073171
tags,100,9,40.24390244,6.097560976,5.487804878,48.17073171
tags,100,10,36.2804878,10.06097561,5.182926829,48.47560976
tags,200,1,38.41463415,7.926829268,3.658536585,50
tags,200,2,41.46341463,4.87804878,7.317073171,46.34146341
tags,200,3,43.29268293,3.048780488,9.146341463,44.51219512
tags,200,4,38.41463415,7.926829268,3.658536585,50
tags,200,5,43.29268293,3.048780488,2.43902439,51.2195122
tags,200,6,40.85365854,5.487804878,5.487804878,48.17073171
tags,200,7,42.68292683,3.658536585,3.658536585,50
tags,200,8,37.80487805,8.536585366,4.268292683,49.3902439
tags,200,9,41.46341463,4.87804878,6.097560976,47.56097561
tags,200,10,37.19512195,9.146341463,4.268292683,49.3902439
tags,400,1,39.02439024,7.317073171,2.43902439,51.2195122
tags,400,2,46.34146341,0,4.87804878,48.7804878
tags,400,3,43.90243902,2.43902439,2.43902439,51.2195122
tags,400,4,40.24390244,6.097560976,3.658536585,50
tags,400,5,46.34146341,0,0,53.65853659
tags,400,6,46.34146341,0,4.87804878,48.7804878
tags,400,7,46.34146341,0,2.43902439,51.2195122
tags,400,8,42.68292683,3.658536585,0,53.65853659
tags,400,9,45.12195122,1.219512195,2.43902439,51.2195122
tags,400,10,42.68292683,3.658536585,0,53.65853659
tokens,25,1,27.89634146,18.44512195,8.68902439,44.9695122
tokens,25,2,33.68902439,12.65243902,15.16768293,38.49085366
tokens,25,3,32.62195122,13.7195122,20.35060976,33.30792683
tokens,25,4,27.74390244,18.59756098,13.64329268,40.0152439
tokens,25,5,35.5945122,10.74695122,10.97560976,42.68292683
tokens,25,6,36.50914634,9.832317073,9.679878049,43.97865854
tokens,25,7,33.99390244,12.34756098,10.74695122,42.91158537
tokens,25,8,36.05182927,10.28963415,9.451219512,44.20731707
tokens,25,9,34.83231707,11.50914634,8.993902439,44.66463415
tokens,25,10,26.29573171,20.04573171,5.56402439,48.0945122
tokens,50,1,31.09756098,15.24390244,6.402439024,47.25609756
tokens,50,2,37.04268293,9.298780488,12.80487805,40.85365854
tokens,50,3,35.97560976,10.36585366,16.61585366,37.04268293
tokens,50,4,31.8597561,14.48170732,9.756097561,43.90243902
tokens,50,5,39.78658537,6.554878049,8.993902439,44.66463415
tokens,50,6,39.78658537,6.554878049,7.774390244,45.88414634
tokens,50,7,37.34756098,8.993902439,8.231707317,45.42682927
tokens,50,8,38.41463415,7.926829268,7.317073171,46.34146341
tokens,50,9,37.34756098,8.993902439,7.469512195,46.18902439
tokens,50,10,28.96341463,17.37804878,3.963414634,49.69512195
tokens,100,1,35.36585366,10.97560976,4.268292683,49.3902439
tokens,100,2,40.85365854,5.487804878,11.2804878,42.37804878
tokens,100,3,39.63414634,6.707317073,10.36585366,43.29268293
tokens,100,4,36.2804878,10.06097561,9.146341463,44.51219512
tokens,100,5,42.68292683,3.658536585,4.268292683,49.3902439
tokens,100,6,41.76829268,4.573170732,4.87804878,48.7804878
tokens,100,7,38.7195122,7.62195122,5.792682927,47.86585366
tokens,100,8,42.68292683,3.658536585,4.573170732,49.08536585
tokens,100,9,42.37804878,3.963414634,4.268292683,49.3902439
tokens,100,10,35.06097561,11.2804878,2.134146341,51.52439024
tokens,200,1,37.80487805,8.536585366,4.87804878,48.7804878
tokens,200,2,43.29268293,3.048780488,6.097560976,47.56097561
tokens,200,3,42.68292683,3.658536585,10.36585366,43.29268293
tokens,200,4,40.24390244,6.097560976,5.487804878,48.17073171
tokens,200,5,44.51219512,1.829268293,2.43902439,51.2195122
tokens,200,6,44.51219512,1.829268293,5.487804878,48.17073171
tokens,200,7,40.85365854,5.487804878,6.097560976,47.56097561
tokens,200,8,43.29268293,3.048780488,4.268292683,49.3902439
tokens,200,9,43.29268293,3.048780488,2.43902439,51.2195122
tokens,200,10,39.63414634,6.707317073,3.048780488,50.6097561
tokens,400,1,31.70731707,14.63414634,4.87804878,48.7804878
tokens,400,2,45.12195122,1.219512195,1.219512195,52.43902439
tokens,400,3,45.12195122,1.219512195,4.87804878,48.7804878
tokens,400,4,42.68292683,3.658536585,3.658536585,50
tokens,400,5,45.12195122,1.219512195,0,53.65853659
tokens,400,6,45.12195122,1.219512195,2.43902439,51.2195122
tokens,400,7,42.68292683,3.658536585,3.658536585,50
tokens,400,8,46.34146341,0,4.87804878,48.7804878
tokens,400,9,43.90243902,2.43902439,0,53.65853659
tokens,400,10,41.46341463,4.87804878,1.219512195,52.43902439